mp-542882,1.75,1.41
mp-9900,1.98,0.13
mp-19318,3.4,2.25
mp-353,1.3,0.03
mp-5495,0.18,0.04
mp-610517,0.85,0.70
mp-568936,0.15,0.00
mp-4431,2.13,1.04
mp-4515,1.93,0.91
mp-554648,1.4,0.00
mp-11794,2.95,0.89
mp-5782,3.13,2.12
mp-14091,2.55,1.05
mp-14092,2.35,1.17
mp-556434,1.7,1.14
mp-569126,1.4,1.37
mp-23231,2.71,0.70
mp-22922,3.25,0.93
mp-7592,2.8,0.00
mp-5342,2.71,1.24
mp-5518,1.81,0.57
mp-4899,1.32,0.32
mp-22894,3.02,1.49
mp-22925,2.91,1.36
mp-22660,1.9,0.40
mp-19833,2.04,0.53
mp-20554,1.24,0.09
mp-22386,0.96,0.29
mp-13383,1.55,1.56
mp-1143,8.8,6.19
mp-2172,2.23,1.43
mp-661,6.11,4.14
mp-1550,2.45,1.58
mp-3955,7.89,5.95
mp-2624,1.69,1.21
mp-23155,14.15,8.71
mp-641,2.6,1.91
mp-909,2.15,1.21
mp-484,0.9,0.42
mp-23218,2.47,2.10
mp-160,2,1.01
mp-28395,3.35,2.42
mp-864638,1.55,1.30
mp-1079630,4.17,4.13
mp-6325,4.28,3.35
mp-7394,2.02,0.61
mp-555166,1.77,0.41
mp-861618,2.34,2.01
mp-552806,3.71,3.31
mp-23199,7,5.03
mp-17947,2.47,1.27
mp-5970,2.1,0.91
mp-12364,1.72,0.61
mp-13287,2.3,1.02
mp-1029,9.1,6.79
mp-2139,0.97,0.53
mp-28007,1.93,1.27
mp-1342,4.8,1.96
mp-1500,3.81,2.10
mp-866301,2.7,2.42
mp-1253,3.42,1.88
mp-1477,1.15,0.74
mp-3163,3.7,1.01
mp-1000,3.4,1.52
mp-19049,2.95,2.85
mp-570198,0.23,0.00
mp-548469,3.9,2.28
mp-2542,10.59,7.35
mp-1541,5.5,2.63
mp-252,2.8,1.96
mp-30200,3.42,0.00
mp-23262,2.5,2.38
mp-23195,2.28,1.57
mp-22856,1.45,1.41
mp-541837,0.22,0.20
mp-34202,0.15,0.26
mp-23116,0.82,0.31
mp-557466,3.94,3.73
mp-22849,1.67,2.40
mp-570008,0.89,0.21
mp-23072,2.92,2.20
mp-22939,3.46,2.62
mp-22987,1.89,1.62
mp-23324,1.95,1.97
mp-23318,1.89,1.85
mp-569707,1.5,1.06
mp-23020,1.3,1.55
mp-23514,1.56,1.78
mp-1639,6.36,4.45
mp-984,5.96,4.29
mp-1479,2.1,1.27
mp-66,5.5,4.15
mp-30478,0.46,0.13
mp-2517,1.9,0.35
mp-22735,0.9,0.14
mp-866503,2.32,2.48
mp-865,1.15,0.02
mp-23214,6.9,5.43
mp-3953,6,5.15
mp-2741,12.1,7.28
mp-23713,4.4,3.00
mp-5795,3.25,2.09
mp-2605,6.88,3.63
mp-1672,4.43,2.36
mp-1415,3.85,2.04
mp-4438,4.4,2.74
mp-7204,3.7,2.78
mp-5928,3.58,2.92
mp-471,1,0.33
mp-4452,3.31,2.08
mp-3772,2.16,1.54
mp-13949,1.45,1.35
mp-4953,0.67,0.15
mp-3668,1.73,0.95
mp-567259,3.47,2.37
mp-559200,2.44,1.20
mp-568032,1.55,1.01
mp-22304,1.46,0.98
mp-7904,1.15,0.33
mp-672,2.48,1.24
mp-1321,0.46,0.21
mp-567556,1.4,1.08
mp-2691,1.74,0.75
mp-1070,1.73,0.77
mp-3078,1.55,0.86
mp-4666,2.09,1.35
mp-3829,0.26,0.11
mp-754329,3.1,1.17
mp-5213,1.23,0.58
mp-406,1.48,0.79
mp-1222,0.35,0.45
mp-1078250,2.19,1.42
mp-1078258,2.77,1.94
mp-8684,1.77,1.39
mp-569548,1.6,0.88
mp-23484,2.04,1.08
mp-28453,1.31,0.82
mp-567386,2.48,1.76
mp-540574,2.56,1.89
mp-641923,2.7,1.22
mp-608555,3.9,2.97
mp-23405,2.2,1.97
mp-540957,1.52,1.34
mp-10488,2.44,1.56
mp-27544,2.5,2.55
mp-624214,1.8,2.10
mp-10378,1.6,0.84
mp-579560,2.3,1.60
mp-23029,1.89,1.61
mp-2667,2.5,0.90
mp-11124,2.46,1.57
mp-567629,2.32,1.80
mp-27214,1.75,0.36
mp-27394,2.8,2.85
mp-568570,1.31,0.51
mp-11116,2.48,2.22
mp-11123,2.54,1.53
mp-574620,2.29,2.16
mp-13982,2.05,0.66
mp-10967,1.2,0.00
mp-15252,1.53,0.31
mp-4728,0.82,0.00
mp-677105,0.78,0.01
mp-361,2.17,0.53
mp-618991,1.04,0.11
mp-553942,1.21,0.00
mp-16366,1.2,0.00
mp-10519,0.86,0.14
mp-11658,0.84,0.09
mp-1861,0.9,0.00
mp-10824,1.29,0.00
mp-977414,2.97,1.30
mp-1025500,1.51,0.49
mp-3345,1.24,0.25
mp-675626,0.88,0.00
mp-3934,2.35,1.25
mp-5756,1.4,0.29
mp-5702,0.88,0.00
mp-9814,0.29,0.00
mp-3748,2.99,1.93
mp-4979,3.45,1.89
mp-8016,2.68,1.15
mp-569715,1.2,0.82
mp-22913,3.07,0.48
mp-12954,3.61,1.68
mp-22914,3.4,0.54
mp-4280,2.55,0.95
mp-5238,2.51,0.89
mp-4840,1.7,0.21
mp-3839,1.23,0.59
mp-22895,3.12,1.18
mp-22736,1.53,0.32
mp-22811,1.04,0.03
mp-22261,1.06,0.13
mp-20072,2.34,2.53
mp-20331,1.04,0.59
mp-4636,3.3,2.42
mp-8927,1.5,0.96
mp-20027,0.37,0.39
mp-226,0.95,0.64
mp-539,3.44,1.92
mp-2534,1.52,0.57
mp-804,3.5,1.87
mp-2490,2.35,1.64
mp-2507,2.54,1.59
mp-1156,0.82,0.16
mp-1943,2.1,0.94
mp-542812,1.8,0.95
mp-32,0.74,0.11
mp-9548,0.65,0.49
mp-17524,1.06,0.59
mp-470,5.35,1.88
mp-700,1.08,0.64
mp-568346,3.1,2.09
mp-352,5.5,4.03
mp-985829,1.96,1.00
mp-985831,1.13,0.47
mp-22859,3,1.67
mp-570838,1.45,0.84
mp-4809,2.79,1.78
mp-4730,1.99,1.13
mp-23192,2.4,1.20
mp-20731,1.16,0.68
mp-19765,0.9,0.76
mp-1224,1.9,1.24
mp-634,2.03,1.55
mp-1123,0.54,0.00
mp-13554,1.6,0.03
mp-19907,1.36,0.00
mp-20830,1.31,0.00
mp-555853,0.93,0.33
mp-567596,2.2,0.05
mp-20305,0.42,0.00
mp-559521,1.5,1.62
mp-571169,1.21,1.28
mp-22205,0.7,0.00
mp-20351,1.42,0.71
mp-20790,3.12,2.49
mp-19795,2.09,1.19
mp-20012,0.24,0.00
mp-559864,1.5,1.49
mp-556541,1.8,1.53
mp-570321,1.21,1.05
mp-20320,1.16,0.00
mp-8900,1.85,1.30
mp-557121,2.75,1.84
mp-9509,2.63,1.39
mp-581024,1,1.07
mp-11131,2.7,1.56
mp-6548,3.05,2.10
mp-561132,2.85,2.28
mp-22963,2.17,2.19
mp-27688,1.38,1.73
mp-12535,3,2.13
mp-10159,1.4,0.77
mp-14017,1.1,0.47
mp-17698,2.51,1.68
mp-12532,3.02,1.14
mp-9490,1.71,0.32
mp-866651,2.25,2.19
mp-23251,7.8,4.36
mp-23193,8.69,5.21
mp-9868,1.64,0.44
mp-557728,1.9,1.44
mp-612118,11.59,7.27
mp-3614,3.64,2.17
mp-1968,5.34,3.86
mp-6088,3.1,1.68
mp-552488,2.8,1.55
mp-546790,2.31,1.19
mp-905,10.1,6.13
mp-549589,1.5,0.53
mp-7060,1.7,0.63
mp-555874,1.6,1.11
mp-1078724,1.11,0.77
mp-23259,7.6,4.94
mp-22905,9.4,6.33
mp-22526,2.1,1.12
mp-1138,13.6,9.08
mp-5048,2.65,1.78
mp-23703,4.94,3.00
mp-973966,4.27,3.45
mp-20310,3.01,1.85
mp-22955,6.1,0.62
mp-3731,3.78,3.42
mp-3666,4.7,3.25
mp-9124,1.61,0.64
mp-7575,1.91,0.66
mp-10182,2.04,1.36
mp-408,0.69,0.15
mp-1367,0.78,0.21
mp-2343,0.3,0.00
mp-2646,0.8,0.25
mp-23210,7.5,5.63
mp-1249,12.4,7.18
mp-1265,7.67,4.71
mp-2961,2.41,1.29
mp-1039,3.49,2.57
mp-2815,1.23,0.90
mp-1634,1.09,0.81
mp-602,1.03,0.74
mp-561075,1.52,2.03
mp-15724,1,0.77
mp-573581,1.95,1.28
mp-3488,3.51,3.12
mp-7956,1.1,0.42
mp-5942,2.23,1.45
mp-22916,7.1,4.13
mp-22862,8.75,5.10
mp-682,11.7,6.31
mp-23268,5.8,3.63
mp-13019,4.5,4.04
mp-561303,2.25,2.09
mp-3858,4,2.71
mp-111,21.48,11.58
mp-2455,0.92,0.70
mp-2319,1.13,0.78
mp-2695,0.21,0.45
mp-157,0.31,0.02
